节点ID,节点名称,节点类型,是否核心类型,所有标签,所属社区,度数,加权度数,入度,出度,加权入度,加权出度,聚类系数,邻居节点数,邻居社区分布
LE602276,第四十一条,Section,否,Section,2,1,0.25,1,0,0.25,0.0,0.0,1,社区2:1
LE804025,没收违法商品,PunishmentMeasure,否,PunishmentMeasure,2,1,1.0,1,0,1.0,0.0,0.0,1,社区2:1
LE016525,交易相对方的工作人员,DisadvantageHolder,否,DisadvantageHolder,2,2,0.4,2,0,0.4,0.0,0.2,2,社区2:2
LE808631,滥用自身资金、技术、交易渠道、行业影响力等方面的优势地位,Action,否,Action,2,1,0.2,1,0,0.2,0.0,0.0,1,社区2:1
LE930086,可以并处吊销营业执照,PunishmentMeasure,否,PunishmentMeasure,2,2,1.2,2,0,1.2,0.0,0.5848,2,社区2:2
LE875935,第八条,Section,否,Section,2,5,1.05,1,4,0.25,0.8,0.06,5,社区2:5
LE868570,第三十一条,Section,否,Section,2,3,1.45,1,2,0.25,1.2,0.1949,3,社区2:3
LE220212,违反本法第十三条第二款、第三款、第四款规定利用网络从事不正当竞争,Action,否,Action,2,1,0.2,1,0,0.2,0.0,0.0,1,社区2:1
LE633229,第二十三条,Section,否,Section,2,2,1.25,1,1,0.25,1.0,0.0,2,社区2:2
LE661713,本法第八条规定,Law,否,Law,2,1,1.0,1,0,1.0,0.0,0.0,1,社区2:1
LE965687,本法第九条规定,Law,否,Law,2,1,1.0,1,0,1.0,0.0,0.0,1,社区2:1
LE203229,第二十五条,Section,否,Section,2,3,1.45,1,2,0.25,1.2,0.1949,3,社区2:3
LE836394,经营者,AdvantageHolder,否,AdvantageHolder,2,24,6.4,10,14,3.6,2.8,0.0255,24,社区2:24
LE225258,中华人民共和国反不正当竞争法（2025年6月27日第十四届全国人民代表大会常务委员会第十六次会议第二次修订）,Title,否,Title,2,5,1.25,0,5,0.0,1.25,0.0,5,社区2:4; 社区8:1
LE329500,大型企业等经营者,AdvantageHolder,否,AdvantageHolder,2,3,0.6,1,2,0.2,0.4,0.0667,3,社区2:3
