关系ID,关系类型,计算权重,起始节点ID,起始节点名称,起始节点类型,起始节点社区,终止节点ID,终止节点名称,终止节点类型,终止节点社区,是否跨社区
LR747928,包含受害主体,0.15,LE875935,第八条,Section,2,LE102480,利用职权或者影响力影响交易的单位或者个人,DisadvantageHolder,2,否
LR544728,包含受害主体,0.15,LE875935,第八条,Section,2,LE989981,受交易相对方委托办理相关事务的单位或者个人,DisadvantageHolder,2,否
LR808246,包含受害主体,0.15,LE875935,第八条,Section,2,LE016525,交易相对方的工作人员,DisadvantageHolder,2,否
LR308127,包含违规主体,0.95,LE875935,第八条,Section,2,LE836394,经营者,AdvantageHolder,2,否
LR387209,包含监管机构,0.15,LE868570,第三十一条,Section,2,LE270957,省级以上人民政府监督检查部门,RegulatoryAuthority,2,否
LR074766,包含违规主体,0.95,LE868570,第三十一条,Section,2,LE836394,经营者,AdvantageHolder,2,否
LR470263,包含监管机构,0.15,LE633229,第二十三条,Section,2,LE387882,监督检查部门,RegulatoryAuthority,2,否
LR545473,包含监管机构,0.15,LE203229,第二十五条,Section,2,LE387882,监督检查部门,RegulatoryAuthority,2,否
LR722111,包含违规主体,0.95,LE203229,第二十五条,Section,2,LE836394,经营者,AdvantageHolder,2,否
LR571247,实施,0.7,LE836394,经营者,AdvantageHolder,2,LE652614,滥用自身优势地位,Action,2,否
LR952112,受到处罚,0.7,LE836394,经营者,AdvantageHolder,2,LE455927,责令停止违法行为,PunishmentMeasure,2,否
LR105295,实施,0.7,LE836394,经营者,AdvantageHolder,2,LE220212,违反本法第十三条第二款、第三款、第四款规定利用网络从事不正当竞争,Action,2,否
LR618485,受到处罚,0.7,LE836394,经营者,AdvantageHolder,2,LE958511,处五万元以上五十万元以下的罚款,PunishmentMeasure,2,否
LR441094,实施,0.7,LE836394,经营者,AdvantageHolder,2,LE570558,进行有奖销售,Action,2,否
LR840601,受到处罚,0.7,LE836394,经营者,AdvantageHolder,2,LE826911,处十万元以上一百万元以下的罚款,PunishmentMeasure,2,否
LR539176,实施,0.7,LE836394,经营者,AdvantageHolder,2,LE190156,侵犯商业秘密,Action,2,否
LR725448,受到处罚,0.7,LE836394,经营者,AdvantageHolder,2,LE930086,可以并处吊销营业执照,PunishmentMeasure,2,否
LR936679,受到处罚,0.7,LE836394,经营者,AdvantageHolder,2,LE298026,处一百万元以下的罚款,PunishmentMeasure,2,否
LR226110,实施,0.7,LE836394,经营者,AdvantageHolder,2,LE049902,对其商品作虚假或者引人误解的商业宣传,Action,2,否
LR045227,实施,0.7,LE836394,经营者,AdvantageHolder,2,LE671671,不得对其商品的性能、功能、质量、销售状况、用户评价、曾获荣誉等作虚假或者引人误解的商业宣传,Action,2,否
LR746976,侵害,0.7,LE836394,经营者,AdvantageHolder,2,LE102480,利用职权或者影响力影响交易的单位或者个人,DisadvantageHolder,2,否
LR694569,侵害,0.7,LE836394,经营者,AdvantageHolder,2,LE989981,受交易相对方委托办理相关事务的单位或者个人,DisadvantageHolder,2,否
LR801375,侵害,0.7,LE836394,经营者,AdvantageHolder,2,LE016525,交易相对方的工作人员,DisadvantageHolder,2,否
LR216695,包含,0.2,LE225258,中华人民共和国反不正当竞争法（2025年6月27日第十四届全国人民代表大会常务委员会第十六次会议第二次修订）,Title,2,LE734353,第五章,Chapter,2,否
LR400432,包含,0.2,LE225258,中华人民共和国反不正当竞争法（2025年6月27日第十四届全国人民代表大会常务委员会第十六次会议第二次修订）,Title,2,LE098830,第四章,Chapter,2,否
LR098599,包含,0.2,LE225258,中华人民共和国反不正当竞争法（2025年6月27日第十四届全国人民代表大会常务委员会第十六次会议第二次修订）,Title,2,LE874226,第三章,Chapter,2,否
LR620746,包含,0.2,LE225258,中华人民共和国反不正当竞争法（2025年6月27日第十四届全国人民代表大会常务委员会第十六次会议第二次修订）,Title,2,LE274499,第二章,Chapter,2,否
LR915640,包含,0.2,LE225258,中华人民共和国反不正当竞争法（2025年6月27日第十四届全国人民代表大会常务委员会第十六次会议第二次修订）,Title,2,LE754008,第一章,Chapter,2,否
LR336836,侵害,0.7,LE329500,大型企业等经营者,AdvantageHolder,14,LE061403,中小企业,DisadvantageHolder,14,否
LR298543,实施,0.7,LE329500,大型企业等经营者,AdvantageHolder,14,LE808631,滥用自身资金、技术、交易渠道、行业影响力等方面的优势地位,Action,14,否
LR394596,包含监管机构,0.15,LE982661,第二十九条,Section,2,LE387882,监督检查部门,RegulatoryAuthority,2,否
LR541376,包含违规主体,0.95,LE982661,第二十九条,Section,2,LE836394,经营者,AdvantageHolder,2,否
LR725946,受到处罚,0.7,LE757503,其他自然人、法人和非法人组织,AdvantageHolder,2,LE826911,处十万元以上一百万元以下的罚款,PunishmentMeasure,2,否
LR196215,实施,0.7,LE757503,其他自然人、法人和非法人组织,AdvantageHolder,2,LE190156,侵犯商业秘密,Action,2,否
LR509941,包含,0.2,LE098830,第四章,Chapter,2,LE217846,第三十九条,Section,2,否
LR847528,包含,0.2,LE098830,第四章,Chapter,2,LE827188,第三十八条,Section,2,否
LR925395,包含,0.2,LE098830,第四章,Chapter,2,LE218256,第三十七条,Section,2,否
LR882749,包含,0.2,LE098830,第四章,Chapter,2,LE919214,第三十六条,Section,2,否
LR582259,包含,0.2,LE098830,第四章,Chapter,2,LE607714,第三十五条,Section,2,否
LR415355,包含,0.2,LE098830,第四章,Chapter,2,LE195028,第三十四条,Section,2,否
LR431652,包含,0.2,LE098830,第四章,Chapter,2,LE425723,第三十三条,Section,2,否
LR707783,包含,0.2,LE098830,第四章,Chapter,2,LE219547,第三十二条,Section,2,否
LR689405,包含,0.2,LE098830,第四章,Chapter,2,LE868570,第三十一条,Section,2,否
LR588454,包含,0.2,LE098830,第四章,Chapter,2,LE236237,第三十条,Section,2,否
LR746149,包含,0.2,LE098830,第四章,Chapter,2,LE982661,第二十九条,Section,2,否
LR366888,包含,0.2,LE098830,第四章,Chapter,2,LE769043,第二十八条,Section,2,否
LR337780,包含,0.2,LE098830,第四章,Chapter,2,LE461642,第二十七条,Section,2,否
LR069974,包含,0.2,LE098830,第四章,Chapter,2,LE152672,第二十六条,Section,2,否
LR068469,包含,0.2,LE098830,第四章,Chapter,2,LE203229,第二十五条,Section,2,否
LR072315,包含,0.2,LE098830,第四章,Chapter,2,LE704542,第二十四条,Section,2,否
LR571086,包含,0.2,LE098830,第四章,Chapter,2,LE633229,第二十三条,Section,2,否
LR291422,包含,0.2,LE098830,第四章,Chapter,2,LE937066,第二十二条,Section,2,否
LR089614,包含受害主体,0.15,LE714528,第十五条,Section,14,LE061403,中小企业,DisadvantageHolder,14,否
LR356428,包含违规主体,0.95,LE714528,第十五条,Section,14,LE329500,大型企业等经营者,AdvantageHolder,14,否
LR134255,包含监管机构,0.15,LE425723,第三十三条,Section,2,LE387882,监督检查部门,RegulatoryAuthority,2,否
LR929625,受到处罚,0.7,LE964512,平台经营者,AdvantageHolder,2,LE958511,处五万元以上五十万元以下的罚款,PunishmentMeasure,2,否
LR670649,实施,0.7,LE964512,平台经营者,AdvantageHolder,2,LE235126,应当在平台服务协议和交易规则中明确平台内公平竞争规则,Action,2,否
LR276366,侵害,0.7,LE964512,平台经营者,AdvantageHolder,2,LE284372,平台内经营者,DisadvantageHolder,2,否
LR676869,包含监管机构,0.15,LE810444,第十八条,Section,2,LE387882,监督检查部门,RegulatoryAuthority,2,否
LR634570,包含监管机构,0.15,LE769043,第二十八条,Section,2,LE387882,监督检查部门,RegulatoryAuthority,2,否
LR271159,包含受害主体,0.15,LE769043,第二十八条,Section,2,LE178619,其他经营者,DisadvantageHolder,2,否
LR598284,包含监管机构,0.15,LE424039,第四条,Section,2,LE963502,国务院,RegulatoryAuthority,2,否
LR873191,包含监管机构,0.15,LE424039,第四条,Section,2,LE167403,各级人民政府,RegulatoryAuthority,2,否
LR987998,包含,0.2,LE274499,第二章,Chapter,2,LE714528,第十五条,Section,14,是
LR370546,包含,0.2,LE274499,第二章,Chapter,2,LE403641,第十四条,Section,2,否
LR658912,包含,0.2,LE274499,第二章,Chapter,2,LE475622,第十三条,Section,2,否
LR085920,包含,0.2,LE274499,第二章,Chapter,2,LE421496,第十二条,Section,2,否
LR893419,包含,0.2,LE274499,第二章,Chapter,2,LE497105,第十一条,Section,2,否
LR340814,包含,0.2,LE274499,第二章,Chapter,2,LE891036,第十条,Section,2,否
LR679471,包含,0.2,LE274499,第二章,Chapter,2,LE486959,第九条,Section,2,否
LR404490,包含,0.2,LE274499,第二章,Chapter,2,LE875935,第八条,Section,2,否
LR349806,包含,0.2,LE274499,第二章,Chapter,2,LE876960,第七条,Section,2,否
LR593311,包含监管机构,0.15,LE571295,第二十条,Section,2,LE387882,监督检查部门,RegulatoryAuthority,2,否
LR846650,包含监管机构,0.15,LE218256,第三十七条,Section,2,LE387882,监督检查部门,RegulatoryAuthority,2,否
LR721507,包含监管机构,0.15,LE236237,第三十条,Section,2,LE387882,监督检查部门,RegulatoryAuthority,2,否
LR228319,包含受害主体,0.15,LE236237,第三十条,Section,2,LE284372,平台内经营者,DisadvantageHolder,2,否
LR081121,包含违规主体,0.95,LE236237,第三十条,Section,2,LE964512,平台经营者,AdvantageHolder,2,否
LR600723,包含监管机构,0.15,LE152672,第二十六条,Section,2,LE387882,监督检查部门,RegulatoryAuthority,2,否
LR107574,包含违规主体,0.95,LE152672,第二十六条,Section,2,LE757503,其他自然人、法人和非法人组织,AdvantageHolder,2,否
LR751590,包含违规主体,0.95,LE152672,第二十六条,Section,2,LE836394,经营者,AdvantageHolder,2,否
LR785490,监管,1.0,LE420762,县级以上人民政府监督检查部门,RegulatoryAuthority,2,LE964512,平台经营者,AdvantageHolder,2,否
LR446490,包含,0.2,LE754008,第一章,Chapter,2,LE298831,第六条,Section,2,否
LR060265,包含,0.2,LE754008,第一章,Chapter,2,LE200593,第五条,Section,2,否
LR395460,包含,0.2,LE754008,第一章,Chapter,2,LE424039,第四条,Section,2,否
LR786772,包含,0.2,LE754008,第一章,Chapter,2,LE881968,第三条,Section,2,否
LR423440,包含,0.2,LE754008,第一章,Chapter,2,LE756202,第二条,Section,2,否
LR463190,包含,0.2,LE754008,第一章,Chapter,2,LE495687,第一条,Section,2,否
LR800785,处以,0.15,LE387882,监督检查部门,RegulatoryAuthority,2,LE387334,依法给予处分,PunishmentMeasure,2,否
LR553136,处以,0.15,LE387882,监督检查部门,RegulatoryAuthority,2,LE959807,对单位可以处十万元以下的罚款,PunishmentMeasure,2,否
LR787963,处以,0.15,LE387882,监督检查部门,RegulatoryAuthority,2,LE456442,对个人可以处一万元以下的罚款,PunishmentMeasure,2,否
LR526218,处以,0.15,LE387882,监督检查部门,RegulatoryAuthority,2,LE013892,责令改正,PunishmentMeasure,2,否
LR375889,依照,0.15,LE387882,监督检查部门,RegulatoryAuthority,2,LE638762,本法,Law,2,否
LR866098,依照,0.15,LE387882,监督检查部门,RegulatoryAuthority,2,LE294850,本法第十四条规定,Law,2,否
LR217330,监管,1.0,LE387882,监督检查部门,RegulatoryAuthority,2,LE964512,平台经营者,AdvantageHolder,2,否
LR854160,依照,0.15,LE387882,监督检查部门,RegulatoryAuthority,2,LE237378,本法第十二条规定,Law,2,否
LR724337,处以,0.15,LE387882,监督检查部门,RegulatoryAuthority,2,LE958511,处五万元以上五十万元以下的罚款,PunishmentMeasure,2,否
LR750016,依照,0.15,LE387882,监督检查部门,RegulatoryAuthority,2,LE352206,本法第十一条规定,Law,2,否
